ID,Flower.species,Type,Country,Period,Date,Site,Landuse,Habitat.EUNIS,Habitat.Detailed,Transect,Subtransect,Plot.ID,Plot.location,Flower.genus,Flower.family,Nr.inflorescences.per.plot,Inflorescence.Type.counted
474,Cardamine.sp,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,4,6,ground,Cardamine,Brassicaceae,4,single.flower
1319,Fragaria.moschata,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,3,7,ground,Fragaria,Rosaceae,11,single.flower
1320,Fragaria.moschata,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,2,ground,Fragaria,Rosaceae,1,single.flower
1324,Fragaria.moschata,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,2,3,ground,Fragaria,Rosaceae,4,single.flower
1326,Fragaria.moschata,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,3,2,ground,Fragaria,Rosaceae,1,single.flower
1327,Fragaria.moschata,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,3,1,ground,Fragaria,Rosaceae,3,single.flower
1337,Fragaria.moschata,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,1,ground,Fragaria,Rosaceae,1,single.flower
1690,Geranium.robertianum,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,2,1,ground,Geranium,Geraniaceae,1,single.flower
1818,Glechoma.hederacea,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,semi.natural.grass,Grass.strip,2,1,2,ground,Glechoma,Lamiaceae,32,single.flower
2853,Polygonatum.multiflorum,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,4,3,ground,Polygonum,Asparagaceae,5,single.flower
3169,Ranunculus.acris,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Temporary.running.waters,Ditch,3,1,1,ground,Ranunculus,Ranunculaceae,9,single.flower
3659,Stellaria.holostea,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,1,ground,Stellaria,Caryophyllaceae,19,single.flower
3661,Stellaria.holostea,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,8,ground,Stellaria,Caryophyllaceae,18,single.flower
3666,Stellaria.holostea,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,6,ground,Stellaria,Caryophyllaceae,1,single.flower
3671,Stellaria.holostea,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,4,1,ground,Stellaria,Caryophyllaceae,12,single.flower
3681,Stellaria.holostea,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,4,4,ground,Stellaria,Caryophyllaceae,3,single.flower
3683,Stellaria.holostea,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,4,2,ground,Stellaria,Caryophyllaceae,58,single.flower
3686,Stellaria.holostea,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,2,ground,Stellaria,Caryophyllaceae,16,single.flower
3688,Stellaria.holostea,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,9,ground,Stellaria,Caryophyllaceae,8,single.flower
3689,Stellaria.holostea,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,3,ground,Stellaria,Caryophyllaceae,16,single.flower
3693,Stellaria.holostea,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,3,8,ground,Stellaria,Caryophyllaceae,41,single.flower
3819,Taraxacum.officinale,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,4,5,ground,Taraxacum,Asteraceae,2,capitulum
3962,Taraxacum.officinale,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,4,1,ground,Taraxacum,Asteraceae,1,capitulum
4338,Verbascum.nigrum,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,4,1,ground,Verbascum,Scrophulariaceae,3,single.flower
4420,Veronica.chamaedrys,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,9,ground,Veronica,Plantaginaceae,3,single.flower
4425,Veronica.chamaedrys,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,2,1,ground,Veronica,Plantaginaceae,7,single.flower
4426,Veronica.chamaedrys,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,2,4,ground,Veronica,Plantaginaceae,9,single.flower
4428,Veronica.chamaedrys,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,8,ground,Veronica,Plantaginaceae,8,single.flower
4429,Veronica.chamaedrys,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,semi.natural.grass,Grass.strip,2,1,1,ground,Veronica,Plantaginaceae,3,single.flower
4430,Veronica.chamaedrys,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,6,ground,Veronica,Plantaginaceae,10,single.flower
4432,Veronica.chamaedrys,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,2,8,ground,Veronica,Plantaginaceae,6,single.flower
4433,Veronica.chamaedrys,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,1,ground,Veronica,Plantaginaceae,1,single.flower
4441,Veronica.chamaedrys,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,2,9,ground,Veronica,Plantaginaceae,32,single.flower
4552,Vicia.cracca,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,1,ground,Vicia,Fabaceae,10,single.flower
4663,Viola.reichenbachiana,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,2,3,ground,Viola,Violaceae,16,single.flower
464,Capsella.bursa-pastoris,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,1,ground,Capsella,Brassicaceae,1,single.flower
470,Capsella.bursa-pastoris,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,6,ground,Capsella,Brassicaceae,850,single.flower
1269,Ficaria.verna,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Temperate.thickets.and.scrub,Thickets,2,1,1,ground,Ficaria,Ranunculaceae,7,single.flower
1297,Ficaria.verna,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Coppice.and.early.stage.plantations,Robinia.pseudoacacia,3,1,1,ground,Ficaria,Ranunculaceae,11,single.flower
1787,Glechoma.hederacea,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,semi.natural.grass,Grass.strip,5,1,1,ground,Glechoma,Lamiaceae,4,single.flower
2179,Lamium.purpureum,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Coppice.and.early.stage.plantations,Robinia.pseudoacacia,3,1,2,ground,Lamium,Lamiaceae,150,single.flower
2484,Mercurialis.perennis,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Temperate.thickets.and.scrub,Thickets,2,1,1,ground,Mercurialis,Euphorbiaceae,1,flower.head
2973,Primula.veris,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,semi.natural.grass,Grass.strip,5,1,1,ground,Primula,Primulaceae,5,single.flower
3255,Ribes.sp,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,4,1,2,ground,Ribes,Grossulariaceae,75,raceme
3256,Ribes.sp,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,4,1,1,ground,Ribes,Grossulariaceae,250,raceme
3716,Stellaria.media,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,1,ground,Stellaria,Caryophyllaceae,450,single.flower
3748,Taraxacum.officinale,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,3,ground,Taraxacum,Asteraceae,2,capitulum
3751,Taraxacum.officinale,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,5,ground,Taraxacum,Asteraceae,10,capitulum
3753,Taraxacum.officinale,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,6,ground,Taraxacum,Asteraceae,15,capitulum
3754,Taraxacum.officinale,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,1,ground,Taraxacum,Asteraceae,3,capitulum
3763,Taraxacum.officinale,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,semi.natural.grass,Grass.strip,5,1,1,ground,Taraxacum,Asteraceae,1,capitulum
3775,Taraxacum.officinale,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,4,ground,Taraxacum,Asteraceae,8,capitulum
3779,Taraxacum.officinale,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,2,ground,Taraxacum,Asteraceae,19,capitulum
4469,Veronica.persica,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,5,ground,Veronica,Plantaginaceae,81,single.flower
4500,Veronica.persica,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,2,ground,Veronica,Plantaginaceae,3,single.flower
4513,Veronica.persica,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,1,ground,Veronica,Plantaginaceae,91,single.flower
4516,Veronica.persica,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,3,ground,Veronica,Plantaginaceae,24,single.flower
4650,Viola.arvensis,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Intensive.unmixed.crops,Trifolium.sp,1,1,4,ground,Viola,Violaceae,17,single.flower
4662,Viola.reichenbachiana,Wild,FR,A,19/04/2021,FR_V08,Rural.habitat.mosaic,Temperate.thickets.and.scrub,Thickets,2,1,1,ground,Viola,Violaceae,11,single.flower
159,Ajuga.reptans,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Low.and.medium.altitude.hay.meadows,Meadows,3,1,1,ground,Ajuga,Lamiaceae,10,single.flower
438,Buglossoides.arvensis,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,5,1,ground,Buglossoides,Boraginaceae,17,single.flower
457,Capsella.bursa-pastoris,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Triticum.aestivum,1,3,1,ground,Capsella,Brassicaceae,42,single.flower
458,Capsella.bursa-pastoris,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,1,1,ground,Capsella,Brassicaceae,150,single.flower
459,Capsella.bursa-pastoris,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,5,1,ground,Capsella,Brassicaceae,150,single.flower
460,Capsella.bursa-pastoris,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,4,1,ground,Capsella,Brassicaceae,47,single.flower
461,Capsella.bursa-pastoris,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,1,2,ground,Capsella,Brassicaceae,45,single.flower
1052,Daucus.carota,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,1,2,ground,Daucus,Apiaceae,1,umbel
2181,Lamium.purpureum,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,2,1,ground,Lamium,Lamiaceae,52,single.flower
2187,Lamium.purpureum,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,1,1,ground,Lamium,Lamiaceae,11,single.flower
2192,Lamium.purpureum,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,1,2,ground,Lamium,Lamiaceae,2,single.flower
2193,Lamium.purpureum,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Triticum.aestivum,1,3,1,ground,Lamium,Lamiaceae,6,single.flower
2701,Plantago.lanceolata,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Low.and.medium.altitude.hay.meadows,Meadows,3,1,1,ground,Plantago,Plantaginaceae,3,flower.head
2970,Primula.veris,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,4,1,1,ground,Primula,Primulaceae,5,single.flower
3083,Prunus.sp,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Species.rich.hedgerows.of.native.species,Prunus.sp,2,1,1,shrub,Prunus,Rosaceae,150,single.flower
3098,Prunus.sp,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Species.rich.hedgerows.of.native.species,Prunus.sp,2,1,2,shrub,Prunus,Rosaceae,150,single.flower
3183,Ranunculus.repens,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Low.and.medium.altitude.hay.meadows,Meadows,3,1,1,ground,Ranunculus,Ranunculaceae,5,single.flower
3493,Senecio.vulgaris,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,1,1,ground,Senecio,Asteraceae,42,capitulum
3504,Senecio.vulgaris,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,1,2,ground,Senecio,Asteraceae,63,capitulum
3882,Taraxacum.officinale,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,4,1,1,ground,Taraxacum,Asteraceae,2,capitulum
3898,Taraxacum.officinale,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Low.and.medium.altitude.hay.meadows,Meadows,3,1,1,ground,Taraxacum,Asteraceae,2,capitulum
3935,Taraxacum.officinale,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,1,1,ground,Taraxacum,Asteraceae,3,capitulum
3936,Taraxacum.officinale,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,2,1,ground,Taraxacum,Asteraceae,10,capitulum
4328,Valerianella.locusta,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Species.rich.hedgerows.of.native.species,Prunus.sp,2,1,2,shrub,Valerianella,Caprifoliaceae,6,umbel
4330,Valerianella.locusta,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,1,1,ground,Valerianella,Caprifoliaceae,45,umbel
4331,Valerianella.locusta,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,2,2,ground,Valerianella,Caprifoliaceae,150,umbel
4333,Valerianella.locusta,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Triticum.aestivum,1,3,1,ground,Valerianella,Caprifoliaceae,4,umbel
4334,Valerianella.locusta,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,2,1,ground,Valerianella,Caprifoliaceae,14,umbel
4335,Valerianella.locusta,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Species.rich.hedgerows.of.native.species,Prunus.sp,2,1,1,shrub,Valerianella,Caprifoliaceae,8,umbel
4381,Veronica.arvensis,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Species.rich.hedgerows.of.native.species,Prunus.sp,2,1,1,shrub,Veronica,Plantaginaceae,15,single.flower
4470,Veronica.persica,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Triticum.aestivum,1,3,1,ground,Veronica,Plantaginaceae,9,single.flower
4485,Veronica.persica,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,1,2,ground,Veronica,Plantaginaceae,150,single.flower
4492,Veronica.persica,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,2,1,ground,Veronica,Plantaginaceae,9,single.flower
4501,Veronica.persica,Wild,FR,A,22/04/2021,FR_V09,Intensive.agriculture,Intensive.unmixed.crops,Brassica.nigra,1,1,1,ground,Veronica,Plantaginaceae,250,single.flower
409,Brassica.napus,Crop,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Intensive.unmixed.crops,Brassica.napus,5,3,2,ground,Brassica,Brassicaceae,150,single.flower
410,Brassica.napus,Crop,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Intensive.unmixed.crops,Brassica.napus,5,3,1,ground,Brassica,Brassicaceae,150,single.flower
413,Brassica.napus,Crop,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Intensive.unmixed.crops,Brassica.napus,5,2,2,ground,Brassica,Brassicaceae,150,single.flower
414,Brassica.napus,Crop,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Intensive.unmixed.crops,Brassica.napus,5,2,1,ground,Brassica,Brassicaceae,150,single.flower
416,Brassica.napus,Crop,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Intensive.unmixed.crops,Brassica.napus,5,1,1,ground,Brassica,Brassicaceae,82,single.flower
417,Brassica.napus,Crop,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Intensive.unmixed.crops,Brassica.napus,5,4,1,ground,Brassica,Brassicaceae,97,single.flower
418,Brassica.napus,Crop,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Intensive.unmixed.crops,Brassica.napus,5,3,3,ground,Brassica,Brassicaceae,95,single.flower
523,Cerastium.glomeratum,Wild,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Low.and.medium.altitude.hay.meadows,Meadows,2,1,1,ground,Cerastium,Caryophyllaceae,150,single.flower
527,Cerastium.glomeratum,Wild,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Low.and.medium.altitude.hay.meadows,Meadows,2,1,2,ground,Cerastium,Caryophyllaceae,150,single.flower
2282,Lonicera.xylosteum,Wild,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,1,2,shrub,Lonicera,Caprifoliaceae,40,single.flower
2787,Plantago.lanceolata,Wild,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,semi.natural.grass,Grass.strip,3,1,1,ground,Plantago,Plantaginaceae,4,flower.head
3165,Ranunculus.acris,Wild,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Coppice.and.early.stage.plantations,Poplar.grove,4,1,1,ground,Ranunculus,Ranunculaceae,1,single.flower
3487,Senecio.vulgaris,Wild,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Low.and.medium.altitude.hay.meadows,Meadows,2,1,2,ground,Senecio,Asteraceae,1,capitulum
3492,Senecio.vulgaris,Wild,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Coppice.and.early.stage.plantations,Poplar.grove,4,1,1,ground,Senecio,Asteraceae,80,capitulum
3498,Senecio.vulgaris,Wild,FR,A,23/04/2021,FR_V13,Rural.habitat.mosaic,Intensive.unmixed.crops,Brassica.napus,5,3,3,ground,Senecio,Asteraceae,99,capitulum
