Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment,country
6,5,2020,1,Pinguicula grandiflora subsp. grandiflora,58,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Taraxacum sp.,405,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Bellis perennis,5551,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Scilla verna,326,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Ranunculus sp.,83,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Viola sp.,41,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Veronica sp.,183,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Potentilla montana,2,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Globularia sp.,3,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Hutchinsia alpina,63,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Vicia pyrenaica,82,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Polygala vulgaris,81,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Geranium robertianum,11,total number of flowers per species for the whole transect,,Spain
6,5,2020,1,Erysimum sp.,13,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Taraxacum sp.,334,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Bellis perennis,4098,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Cardamine pratensis,20,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Ranunculus sp.,74,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Viola sp.,7,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Geranium robertianum,2,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Veronica sp.,68,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Potentilla erecta,67,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Pedicularis sylvatica subsp. sylvatica,2,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Hutchinsia alpina,12,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Myosotis sp.,44,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Lysimachia nemorum,36,total number of flowers per species for the whole transect,,Spain
7,5,2020,2,Polygala vulgaris,10,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Scilla verna,10,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Bellis perennis,4196,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Ranunculus sp.,369,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Vicia pyrenaica,160,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Erysimum sp.,33,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Euphrasia sp.,3,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Polygala vulgaris,25,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Potentilla montana,16,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Erinus alpinus,782,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Taraxacum sp.,166,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Linnaria propinqua,23,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Geranium robertianum,126,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Veronica sp.,101,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Pinguicula grandiflora subsp. grandiflora,20,total number of flowers per species for the whole transect,,Spain
17,5,2020,1,Hutchinsia alpina,7,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Bellis perennis,4103,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Taraxacum sp.,15,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Ranunculus sp.,296,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Geranium robertianum,13,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Pedicularis sylvatica subsp. sylvatica,6,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Myosotis sp.,180,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Potentilla erecta,145,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Veronica sp.,106,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Pilosella sp.,9,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Lysimachia nemorum,33,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Saxifraga sp.,33,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Erinus alpinus,15,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Cerastium sp.,3,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Fragaria vesca,3,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Polygala vulgaris,16,total number of flowers per species for the whole transect,,Spain
18,5,2020,2,Viola sp.,2,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Trifolium pratense,20,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Ranunculus sp.,673,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Lathyrus linifolius,27,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Pedicularis sylvatica subsp. sylvatica,45,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Potentilla montana,39,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Potentilla erecta,221,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Polygala vulgaris,35,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Bellis perennis,1082,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Trifolium repens,70,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Prunella grandiflora,3,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Daboecia cantabrica,3,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Thymus sp.,6,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Lotus cornicularis,155,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Veronica sp.,5,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Medicago lupulina,46,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Helianthemum nummularium,41,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Taraxacum sp.,2,total number of flowers per species for the whole transect,,Spain
19,5,2020,3,Pilosella hypeurya,5,total number of flowers per species for the whole transect,,Spain
20,5,2020,4,Taraxacum sp.,7,total number of flowers per species for the whole transect,,Spain
20,5,2020,4,Erica cinerea,3,total number of flowers per species for the whole transect,,Spain
20,5,2020,4,Potentilla erecta,1188,total number of flowers per species for the whole transect,,Spain
20,5,2020,4,Ranunculus sp.,136,total number of flowers per species for the whole transect,,Spain
20,5,2020,4,Veronica officinalis,346,total number of flowers per species for the whole transect,,Spain
20,5,2020,4,Pinguicula grandiflora subsp. grandiflora,1,total number of flowers per species for the whole transect,,Spain
20,5,2020,4,Lathyrus linifolius,2,total number of flowers per species for the whole transect,,Spain
20,5,2020,4,Polygala vulgaris,524,total number of flowers per species for the whole transect,,Spain
20,5,2020,4,Galium sp.,285,total number of flowers per species for the whole transect,,Spain
20,5,2020,4,Bellis perennis,115,total number of flowers per species for the whole transect,,Spain
21,5,2020,5,Scilla verna,3,total number of flowers per species for the whole transect,,Spain
21,5,2020,5,Scorzonera humilis,63,total number of flowers per species for the whole transect,,Spain
21,5,2020,5,Daboecia cantabrica,32,total number of flowers per species for the whole transect,,Spain
21,5,2020,5,Pedicularis sylvatica subsp. sylvatica,15,total number of flowers per species for the whole transect,,Spain
21,5,2020,5,Pinguicula grandiflora subsp. grandiflora,2,total number of flowers per species for the whole transect,,Spain
21,5,2020,5,Ranunculus sp.,35,total number of flowers per species for the whole transect,,Spain
21,5,2020,5,Polygala vulgaris,201,total number of flowers per species for the whole transect,,Spain
21,5,2020,5,Potentilla erecta,947,total number of flowers per species for the whole transect,,Spain
21,5,2020,5,Bellis perennis,8,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Vicia pyrenaica,181,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Taraxacum sp.,48,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Medicago lupulina,1100,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Linnaria propinqua,29,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Ranunculus sp.,927,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Veronica officinalis,3,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Erysimum sp.,9,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Geranium robertianum,20,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Pinguicula grandiflora subsp. grandiflora,7,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Thymus sp.,15,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Hutchinsia alpina,18,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Scilla verna,3,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Potentilla montana,9,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Veronica sp.,101,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Lysimachia nemorum,135,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Euphrasia sp.,10,total number of flowers per species for the whole transect,,Spain
22,5,2020,1,Bellis perennis,4489,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Bellis perennis,4364,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Ranunculus sp.,666,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Myosotis sp.,355,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Veronica sp.,22,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Veronica officinalis,24,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Geranium robertianum,5,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Pilosella hypeurya,27,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Taraxacum sp.,7,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Potentilla erecta,220,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Lotus cornicularis,2,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Lysimachia nemorum,60,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Polygala vulgaris,10,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Saxifraga  hirsuta,15,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Erinus alpinus,140,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Hutchinsia alpina,4,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Potentilla montana,4,total number of flowers per species for the whole transect,,Spain
25,5,2020,2,Fragaria vesca,2,total number of flowers per species for the whole transect,,Spain
26,5,2020,4,Potentilla erecta,1344,total number of flowers per species for the whole transect,,Spain
26,5,2020,4,Taraxacum sp.,65,total number of flowers per species for the whole transect,,Spain
26,5,2020,4,Veronica officinalis,531,total number of flowers per species for the whole transect,,Spain
26,5,2020,4,Polygala vulgaris,621,total number of flowers per species for the whole transect,,Spain
26,5,2020,4,Bellis perennis,91,total number of flowers per species for the whole transect,,Spain
26,5,2020,4,Ranunculus sp.,176,total number of flowers per species for the whole transect,,Spain
26,5,2020,4,Sedum sp.,14,total number of flowers per species for the whole transect,,Spain
26,5,2020,4,Galium sp.,1391,total number of flowers per species for the whole transect,,Spain
26,5,2020,4,Pinguicula grandiflora subsp. grandiflora,1,total number of flowers per species for the whole transect,,Spain
26,5,2020,4,Scilla verna,3,total number of flowers per species for the whole transect,,Spain
27,5,2020,5,Potentilla erecta,1182,total number of flowers per species for the whole transect,,Spain
27,5,2020,5,Scorzonera humilis,35,total number of flowers per species for the whole transect,,Spain
27,5,2020,5,Polygala vulgaris,144,total number of flowers per species for the whole transect,,Spain
27,5,2020,5,Galium sp.,23,total number of flowers per species for the whole transect,,Spain
27,5,2020,5,Pedicularis sylvatica subsp. sylvatica,12,total number of flowers per species for the whole transect,,Spain
27,5,2020,5,Ranunculus sp.,14,total number of flowers per species for the whole transect,,Spain
27,5,2020,5,Daboecia cantabrica,11,total number of flowers per species for the whole transect,,Spain
27,5,2020,5,Erica tetralix,24,total number of flowers per species for the whole transect,,Spain
27,5,2020,5,Erica cinerea,48,total number of flowers per species for the whole transect,,Spain
27,5,2020,5,Bellis perennis,3,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Ranunculus sp.,531,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Lathyrus linifolius,10,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Prunella grandiflora,85,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Polygala vulgaris,8,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Pedicularis sylvatica subsp. sylvatica,7,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Lotus cornicularis,1419,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Trifolium repens,135,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Potentilla montana,4,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Helianthemum nummularium,29,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Trifolium pratense,11,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Potentilla erecta,198,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Medicago lupulina,120,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Daboecia cantabrica,1,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Teucrium pyrenaicum L. subsp. pyrenaicum,7,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Euphrasia sp.,7,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Bellis perennis,824,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Pilosella sp.,4,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Veronica officinalis,3,total number of flowers per species for the whole transect,,Spain
28,5,2020,3,Thymus sp.,140,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Ranunculus sp.,1766,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Bellis perennis,7132,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Veronica sp.,10,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Erysimum sp.,51,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Geranium robertianum,96,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Linnaria propinqua,70,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Vicia pyrenaica,67,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Taraxacum sp.,7,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Lotus cornicularis,122,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Thymus sp.,48,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Pilosella sp.,7,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Erinus alpinus,69,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Euphrasia sp.,10,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Potentilla montana,3,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Medicago lupulina,2275,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Trifolium pratense,4,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Anagallis arvensis,15,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Lysimachia nemorum,28,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Saxifraga sp.,10,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Rhinanthus sp.,3,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Veronica officinalis,10,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Hutchinsia alpina,11,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Polygala vulgaris,30,total number of flowers per species for the whole transect,,Spain
29,5,2020,1,Trifolium repens,2,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Myosotis sp.,89,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Ranunculus sp.,966,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Bellis perennis,2533,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Trifolium repens,23,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Potentilla erecta,101,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Taraxacum sp.,16,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Lysimachia nemorum,6,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Lotus cornicularis,50,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Geranium robertianum,6,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Veronica officinalis,13,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Plantago sp.,121,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Prunella grandiflora,6,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Euphrasia sp.,19,total number of flowers per species for the whole transect,,Spain
14,6,2020,2,Galium sp.,8,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Galium sp.,2154,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Potentilla erecta,339,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Veronica officinalis,6,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Ranunculus sp.,34,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Sedum sp.,330,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Taraxacum sp.,49,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Prunella grandiflora,1,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Polygala vulgaris,13,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Jasione sp.,2,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Trifolium repens,6,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Erica cinerea,294,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Erica tetralix,90,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Lotus cornicularis,6,total number of flowers per species for the whole transect,,Spain
15,6,2020,4,Bellis perennis,46,total number of flowers per species for the whole transect,,Spain
20,6,2020,5,Potentilla erecta,464,total number of flowers per species for the whole transect,,Spain
20,6,2020,5,Erica cinerea,219,total number of flowers per species for the whole transect,,Spain
20,6,2020,5,Erica tetralix,264,total number of flowers per species for the whole transect,,Spain
20,6,2020,5,Pedicularis sylvatica subsp. sylvatica,2,total number of flowers per species for the whole transect,,Spain
20,6,2020,5,Daboecia cantabrica,13,total number of flowers per species for the whole transect,,Spain
20,6,2020,5,Ranunculus sp.,8,total number of flowers per species for the whole transect,,Spain
20,6,2020,5,Polygala vulgaris,7,total number of flowers per species for the whole transect,,Spain
20,6,2020,5,Galium sp.,24,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Prunella grandiflora,996,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Trifolium pratense,116,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Ranunculus sp.,83,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Dianthus hyssopifolius subsp. hyssopifolius,2,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Daboecia cantabrica,25,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Teucrium pyrenaicum L. subsp. pyrenaicum,37,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Trifolium repens,527,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Galium sp.,40,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Lathyrus linifolius,3,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Rhinanthus sp.,4,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Pedicularis sylvatica subsp. sylvatica,2,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Medicago lupulina,166,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Plantago sp.,565,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Lotus cornicularis,1527,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Potentilla erecta,392,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Thymus sp.,40,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Bellis perennis,103,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Taraxacum sp.,12,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Euphrasia sp.,19,total number of flowers per species for the whole transect,,Spain
21,6,2020,3,Erica vagans,1,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Bellis perennis,3830,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Plantago sp.,469,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Ranunculus sp.,744,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Medicago lupulina,2150,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Lotus cornicularis,616,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Euphrasia sp.,727,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Thymus sp.,739,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Vicia pyrenaica,5,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Geranium robertianum,48,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Trifolium repens,34,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Trifolium pratense,36,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Galium sp.,1290,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Taraxacum sp.,27,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Prunella grandiflora,38,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Saxifraga sp.,17,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Linnaria propinqua,66,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Veronica persica,5,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Anthyllis vulneraria subsp. Alpestris,7,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Campanula glomerata,4,total number of flowers per species for the whole transect,,Spain
22,6,2020,1,Erysimum sp.,6,total number of flowers per species for the whole transect,,Spain
