Country,Site_id,Focal_habitat,Units,Day,Month,Year,Plant_species,Flower_count,Species_abbreviation,Inflorescence_unit_used
CH,1,HL,Total.number.of.flower.units.per.m43,7,6,2013,Centaurea.jacea,0.7,cen.jac,Flower.head
CH,1,HL,Total.number.of.flower.units.per.m44,7,6,2013,Leucanthemum.vulgare,15.6,leu.vul,Flower.head
CH,1,HL,Total.number.of.flower.units.per.m45,7,6,2013,Silene.latifolia,0.3,NA,NA
CH,1,HL,Total.number.of.flower.units.per.m46,2,7,2013,Centaurea.jacea,0.35,cen.jac,Flower.head
CH,1,HL,Total.number.of.flower.units.per.m47,2,7,2013,Cota.tinctoria,0.1,ant.tin,Flower.head
CH,1,HL,Total.number.of.flower.units.per.m48,2,7,2013,Epilobium.hirsutum,4.4,epi.hir,Flower
CH,1,HL,Total.number.of.flower.units.per.m49,2,7,2013,Hypericum.perforatum,1.1,hyp.per,Flower
CH,1,HL,Total.number.of.flower.units.per.m50,2,7,2013,Malva.moschata,1.9,mal.mos,Flower
CH,1,HL,Total.number.of.flower.units.per.m51,2,7,2013,Malva.neglecta,14.55,mal.neg,Flower
CH,1,HL,Total.number.of.flower.units.per.m52,2,7,2013,Silene.latifolia,0.95,NA,NA
CH,1,HL,Total.number.of.flower.units.per.m53,16,8,2013,Achillea.millefolium,7,ach.mil,Umbel
CH,1,HL,Total.number.of.flower.units.per.m54,16,8,2013,Centaurea.jacea,0.15,cen.jac,Flower.head
CH,1,HL,Total.number.of.flower.units.per.m55,16,8,2013,Cichorium.intybus,0.3,cic.int,Flower
CH,1,HL,Total.number.of.flower.units.per.m56,16,8,2013,Cota.tinctoria,0.3,ant.tin,Flower.head
CH,1,HL,Total.number.of.flower.units.per.m57,16,8,2013,Epilobium.hirsutum,9.45,epi.hir,Flower
CH,1,HL,Total.number.of.flower.units.per.m58,16,8,2013,Epilobium.parviflorum,4.4,epi.par,Flower
CH,1,HL,Total.number.of.flower.units.per.m59,16,8,2013,Hypericum.perforatum,0.175,hyp.per,Flower
CH,1,HL,Total.number.of.flower.units.per.m60,16,8,2013,Leucanthemum.vulgare,0.5,leu.vul,Flower.head
CH,1,HL,Total.number.of.flower.units.per.m61,16,8,2013,Malva.neglecta,5.8,mal.neg,Flower
CH,1,HL,Total.number.of.flower.units.per.m62,16,8,2013,Silene.latifolia,0.5,NA,NA
CH,1,WA,Total.number.of.flower.units.per.m63,10,4,2014,Carex.hirta,0.8,car.hir,Spike
CH,1,WA,Total.number.of.flower.units.per.m64,10,4,2014,Oxalis.acetosella,0.9,oxa.ace,Flower
CH,1,WA,Total.number.of.flower.units.per.m65,7,6,2013,Galium.odoratum,3.5,gal.odo,Flower
CH,1,WA,Total.number.of.flower.units.per.m66,7,6,2013,Geranium.dissectum,2.4,ger.dis,Flower
CH,1,WA,Total.number.of.flower.units.per.m67,7,6,2013,Ranunculus.acris,12.5,ran.acr,Flower
CH,1,WA,Total.number.of.flower.units.per.m68,2,7,2013,Geranium.robertianum,6.7,ger.rob,Flower
CH,1,WA,Total.number.of.flower.units.per.m69,2,7,2013,Geum.urbanum,0.3,geu.urb,Flower.head
CH,1,WA,Total.number.of.flower.units.per.m70,2,7,2013,Rubus.vestitus,1.9,NA,NA
CH,1,WA,Total.number.of.flower.units.per.m71,16,8,2013,Anthriscus.sylvestris,0.4,ant.syl,Compound.umbel
CH,1,WA,Total.number.of.flower.units.per.m72,16,8,2013,Circaea.lutetiana,2,cir.lut,Flower
CH,1,WA,Total.number.of.flower.units.per.m73,16,8,2013,Geranium.robertianum,1.5,ger.rob,Flower
CH,1,WA,Total.number.of.flower.units.per.m74,16,8,2013,Impatiens.parviflora,0.8,imp.par,Flower
CH,1,WL,Total.number.of.flower.units.per.m75,10,4,2014,Cardamine.pratensis,2.95,car.pra,Flower
CH,1,WL,Total.number.of.flower.units.per.m76,10,4,2014,Ficaria.verna,0.55,NA,NA
CH,1,WL,Total.number.of.flower.units.per.m77,10,4,2014,Glechoma.hederacea,3.2,gle.hed,Raceme
CH,1,WL,Total.number.of.flower.units.per.m78,10,4,2014,Potentilla.sterilis,1,pot.ste,Flower
CH,1,WL,Total.number.of.flower.units.per.m79,10,4,2014,Rumex.acetosa,0.2,rum.ace,Spike
CH,1,WL,Total.number.of.flower.units.per.m80,10,4,2014,Taraxacum.campylodes,0.2,NA,NA
CH,1,WL,Total.number.of.flower.units.per.m81,28,5,2013,Ajuga.reptans,0.1,aju.rep,Raceme
CH,1,WL,Total.number.of.flower.units.per.m82,28,5,2013,Cerastium.fontanum,0.85,cer.fon,Flower
CH,1,WL,Total.number.of.flower.units.per.m83,28,5,2013,Ficaria.verna,2.2,NA,NA
CH,1,WL,Total.number.of.flower.units.per.m84,28,5,2013,Fragaria.vesca,3.4,fra.ves,Flower.head
CH,1,WL,Total.number.of.flower.units.per.m85,28,5,2013,Galium.album,4,gal.alb,Raceme
CH,1,WL,Total.number.of.flower.units.per.m86,28,5,2013,Glechoma.hederacea,2.6,gle.hed,Raceme
CH,1,WL,Total.number.of.flower.units.per.m87,28,5,2013,Lamium.galeobdolon,43,lam.gal,Flowered.stem
CH,1,WL,Total.number.of.flower.units.per.m88,28,5,2013,Plantago.lanceolata,0.2,pla.lan,Spike
CH,1,WL,Total.number.of.flower.units.per.m89,28,5,2013,Ranunculus.acris,0.7,ran.acr,Flower
CH,1,WL,Total.number.of.flower.units.per.m90,28,5,2013,Rhinanthus.alectorolophus,1.5,rhi.ale,Raceme
CH,1,WL,Total.number.of.flower.units.per.m91,28,5,2013,Rumex.acetosa,1.8,rum.ace,Spike
CH,1,WL,Total.number.of.flower.units.per.m92,28,5,2013,Veronica.chamaedrys,31.2,ver.cha,Flower
CH,1,WL,Total.number.of.flower.units.per.m93,28,5,2013,Vicia.sepium,5.9,vic.sep,Raceme
CH,1,WL,Total.number.of.flower.units.per.m94,2,7,2013,Campanula.rapunculoides,0.7,cam.rap,Flower
CH,1,WL,Total.number.of.flower.units.per.m95,2,7,2013,Geranium.robertianum,0.3,ger.rob,Flower
CH,1,WL,Total.number.of.flower.units.per.m96,2,7,2013,Lamium.purpureum,2.7,lam.pur,Flowered.stem
CH,1,WL,Total.number.of.flower.units.per.m97,2,7,2013,Plantago.lanceolata,0.4,pla.lan,Spike
CH,1,WL,Total.number.of.flower.units.per.m98,2,7,2013,Rubus.idaeus,0.6,rub.ide,Flower
CH,1,WL,Total.number.of.flower.units.per.m99,2,7,2013,Rubus.vestitus,0.4,NA,NA
CH,1,WL,Total.number.of.flower.units.per.m100,2,7,2013,Stellaria.media,1,ste.med,Flower
CH,1,WL,Total.number.of.flower.units.per.m101,2,7,2013,Trifolium.repens,0.7,tri.rep,Flower.head
CH,2,HA,Total.number.of.flower.units.per.m102,17,4,2014,Anemone.nemorosa,0.1,ane.nem,Flower
CH,2,HA,Total.number.of.flower.units.per.m103,17,4,2014,Cardamine.pratensis,1,car.pra,Flower
CH,2,HA,Total.number.of.flower.units.per.m104,17,4,2014,Ranunculus.acris,0.15,ran.acr,Flower
CH,2,HA,Total.number.of.flower.units.per.m105,17,4,2014,Ranunculus.bulbosus,0.6,ran.bul,Flower
CH,2,HA,Total.number.of.flower.units.per.m106,17,4,2014,Rumex.acetosa,0.5,rum.ace,Spike
CH,2,HA,Total.number.of.flower.units.per.m107,17,4,2014,Taraxacum.campylodes,0.85,NA,NA
CH,2,HA,Total.number.of.flower.units.per.m108,17,4,2014,Veronica.persica,6.2,ver.per,Flower
CH,2,HA,Total.number.of.flower.units.per.m109,8,6,2013,Ajuga.reptans,18.4,aju.rep,Raceme
CH,2,HA,Total.number.of.flower.units.per.m110,8,6,2013,Bellis.perennis,0.3,bel.per,Flower.head
CH,2,HA,Total.number.of.flower.units.per.m111,8,6,2013,Cerastium.fontanum,0.35,cer.fon,Flower
CH,2,HA,Total.number.of.flower.units.per.m112,8,6,2013,Lotus.corniculatus,0.5,lot.cor,Flower
CH,2,HA,Total.number.of.flower.units.per.m113,8,6,2013,Plantago.lanceolata,0.15,pla.lan,Spike
CH,2,HA,Total.number.of.flower.units.per.m114,8,6,2013,Ranunculus.acris,39.6,ran.acr,Flower
CH,2,HA,Total.number.of.flower.units.per.m115,8,6,2013,Ranunculus.bulbosus,22.3,ran.bul,Flower
CH,2,HA,Total.number.of.flower.units.per.m116,8,6,2013,Rumex.acetosa,0.55,rum.ace,Spike
CH,2,HA,Total.number.of.flower.units.per.m117,8,6,2013,Sanguisorba.officinalis,6.6,san.off,Spadix
CH,2,HA,Total.number.of.flower.units.per.m118,8,6,2013,Taraxacum.campylodes,0.15,NA,NA
CH,2,HA,Total.number.of.flower.units.per.m119,8,6,2013,Trifolium.pratense,0.3,tri.pra,Flower.head
CH,2,HA,Total.number.of.flower.units.per.m120,8,6,2013,Veronica.chamaedrys,3.95,ver.cha,Flower
CH,2,HA,Total.number.of.flower.units.per.m121,8,6,2013,Vicia.sepium,2.95,vic.sep,Raceme
CH,2,HA,Total.number.of.flower.units.per.m122,10,7,2013,Plantago.lanceolata,14.55,pla.lan,Spike
CH,2,HA,Total.number.of.flower.units.per.m123,10,7,2013,Trifolium.pratense,1,tri.pra,Flower.head
CH,2,HA,Total.number.of.flower.units.per.m124,10,7,2013,Trifolium.repens,2.2,tri.rep,Flower.head
CH,2,HA,Total.number.of.flower.units.per.m125,10,7,2013,Veronica.chamaedrys,0.1,ver.cha,Flower
CH,2,HA,Total.number.of.flower.units.per.m126,10,7,2013,Vicia.sepium,8.7,vic.sep,Raceme
CH,2,HA,Total.number.of.flower.units.per.m127,15,8,2013,Galium.mollugo,0.7,gal.mol,Raceme
CH,2,HA,Total.number.of.flower.units.per.m128,15,8,2013,Knautia.arvensis,0.1,kna.arv,Flower.head
CH,2,HA,Total.number.of.flower.units.per.m129,15,8,2013,Lotus.corniculatus,2.7,lot.cor,Flower
CH,2,HA,Total.number.of.flower.units.per.m130,15,8,2013,Plantago.lanceolata,3.75,pla.lan,Spike
CH,2,HA,Total.number.of.flower.units.per.m131,15,8,2013,Prunella.vulgaris,0.3,pru.vul,Flowered.stem
CH,2,HA,Total.number.of.flower.units.per.m132,15,8,2013,Sanguisorba.officinalis,0.2,san.off,Spadix
CH,2,HA,Total.number.of.flower.units.per.m133,15,8,2013,Trifolium.pratense,0.15,tri.pra,Flower.head
CH,2,HA,Total.number.of.flower.units.per.m134,15,8,2013,Vicia.sepium,0.2,vic.sep,Raceme
CH,2,HL,Total.number.of.flower.units.per.m135,17,4,2014,Ajuga.reptans,0.2,aju.rep,Raceme
CH,2,HL,Total.number.of.flower.units.per.m136,17,4,2014,Bellis.perennis,0.3,bel.per,Flower.head
CH,2,HL,Total.number.of.flower.units.per.m137,17,4,2014,Cardamine.pratensis,0.35,car.pra,Flower
CH,2,HL,Total.number.of.flower.units.per.m138,17,4,2014,Cerastium.fontanum,0.3,cer.fon,Flower
CH,2,HL,Total.number.of.flower.units.per.m139,17,4,2014,Plantago.lanceolata,0.3,pla.lan,Spike
CH,2,HL,Total.number.of.flower.units.per.m140,17,4,2014,Ranunculus.acris,1,ran.acr,Flower
CH,2,HL,Total.number.of.flower.units.per.m141,17,4,2014,Ranunculus.bulbosus,2.2,ran.bul,Flower
CH,2,HL,Total.number.of.flower.units.per.m142,17,4,2014,Rumex.acetosa,0.1,rum.ace,Spike
CH,2,HL,Total.number.of.flower.units.per.m143,17,4,2014,Taraxacum.campylodes,0.4,NA,NA
CH,2,HL,Total.number.of.flower.units.per.m144,17,4,2014,Veronica.arvensis,1.15,ver.arv,Flower
CH,2,HL,Total.number.of.flower.units.per.m145,17,4,2014,Veronica.persica,29.9,ver.per,Flower
CH,2,HL,Total.number.of.flower.units.per.m146,27,5,2013,Ajuga.reptans,20,aju.rep,Raceme
CH,2,HL,Total.number.of.flower.units.per.m147,27,5,2013,Anthriscus.cerefolium,1.1,ant.cer,Compound.umbel
CH,2,HL,Total.number.of.flower.units.per.m148,27,5,2013,Bellis.perennis,0.3,bel.per,Flower.head
CH,2,HL,Total.number.of.flower.units.per.m149,27,5,2013,Cerastium.fontanum,0.75,cer.fon,Flower
CH,2,HL,Total.number.of.flower.units.per.m150,27,5,2013,Glechoma.hederacea,0.4,gle.hed,Raceme
CH,2,HL,Total.number.of.flower.units.per.m151,27,5,2013,Plantago.lanceolata,1.65,pla.lan,Spike
CH,2,HL,Total.number.of.flower.units.per.m152,27,5,2013,Ranunculus.acris,45.45,ran.acr,Flower
CH,2,HL,Total.number.of.flower.units.per.m153,27,5,2013,Rumex.acetosa,4.8,rum.ace,Spike
CH,2,HL,Total.number.of.flower.units.per.m154,27,5,2013,Trifolium.pratense,0.4,tri.pra,Flower.head
CH,2,HL,Total.number.of.flower.units.per.m155,27,5,2013,Veronica.chamaedrys,4.1,ver.cha,Flower
CH,2,HL,Total.number.of.flower.units.per.m156,27,5,2013,Vicia.sepium,7.5,vic.sep,Raceme
CH,2,HL,Total.number.of.flower.units.per.m157,15,8,2013,Centaurea.jacea,0.75,cen.jac,Flower.head
CH,2,HL,Total.number.of.flower.units.per.m158,15,8,2013,Galium.album,3.15,gal.alb,Raceme
CH,2,HL,Total.number.of.flower.units.per.m159,15,8,2013,Knautia.arvensis,0.4,kna.arv,Flower.head
CH,2,HL,Total.number.of.flower.units.per.m160,15,8,2013,Leontodon.hispidus,1.5,leo.his,Flower.head
CH,2,HL,Total.number.of.flower.units.per.m161,15,8,2013,Medicago.sativa,3.7,med.sat,Flower
CH,2,HL,Total.number.of.flower.units.per.m162,15,8,2013,Plantago.lanceolata,14.1,pla.lan,Spike
CH,2,HL,Total.number.of.flower.units.per.m163,15,8,2013,Ranunculus.acris,0.1,ran.acr,Flower
CH,2,HL,Total.number.of.flower.units.per.m164,15,8,2013,Trifolium.pratense,6.8,tri.pra,Flower.head
CH,2,WA,Total.number.of.flower.units.per.m165,17,4,2014,Anemone.nemorosa,0.1,ane.nem,Flower
CH,2,WA,Total.number.of.flower.units.per.m166,17,4,2014,Cardamine.pratensis,3.9,car.pra,Flower
CH,2,WA,Total.number.of.flower.units.per.m167,17,4,2014,Corydalis.cava,0.8,cor.cav,Raceme
CH,2,WA,Total.number.of.flower.units.per.m168,17,4,2014,Ficaria.verna,0.1,NA,NA
CH,2,WA,Total.number.of.flower.units.per.m169,17,4,2014,Glechoma.hederacea,1.6,gle.hed,Raceme
CH,2,WA,Total.number.of.flower.units.per.m170,17,4,2014,Lamium.galeobdolon,2,lam.gal,Flowered.stem
CH,2,WA,Total.number.of.flower.units.per.m171,17,4,2014,Lamium.maculatum,7.7,lam.mac,Flowered.stem
CH,2,WA,Total.number.of.flower.units.per.m172,17,4,2014,Potentilla.sterilis,2.4,pot.ste,Flower
CH,2,WA,Total.number.of.flower.units.per.m173,17,4,2014,Veronica.persica,0.2,ver.per,Flower
CH,2,WA,Total.number.of.flower.units.per.m174,8,6,2013,Ajuga.reptans,27,aju.rep,Raceme
CH,2,WA,Total.number.of.flower.units.per.m175,8,6,2013,Allium.ursinum,126.2,all.urs,Flower.head
CH,2,WA,Total.number.of.flower.units.per.m176,8,6,2013,Glechoma.hederacea,40.4,gle.hed,Raceme
CH,2,WA,Total.number.of.flower.units.per.m177,8,6,2013,Lamium.galeobdolon,231,lam.gal,Flowered.stem
CH,2,WA,Total.number.of.flower.units.per.m178,8,6,2013,Veronica.chamaedrys,0.1,ver.cha,Flower
CH,2,WA,Total.number.of.flower.units.per.m179,10,7,2013,Geranium.dissectum,0.2,ger.dis,Flower
CH,2,WA,Total.number.of.flower.units.per.m180,10,7,2013,Lamium.galeobdolon,12,lam.gal,Flowered.stem
CH,2,WA,Total.number.of.flower.units.per.m181,15,8,2013,Rubus.vestitus,0.2,NA,NA
CH,2,WL,Total.number.of.flower.units.per.m182,17,4,2014,Anemone.nemorosa,0.1,ane.nem,Flower
CH,2,WL,Total.number.of.flower.units.per.m183,17,4,2014,Cardamine.pratensis,1.7,car.pra,Flower
CH,2,WL,Total.number.of.flower.units.per.m184,17,4,2014,Ficaria.verna,1.1,NA,NA
CH,2,WL,Total.number.of.flower.units.per.m185,17,4,2014,Glechoma.hederacea,13.2,gle.hed,Raceme
CH,2,WL,Total.number.of.flower.units.per.m186,17,4,2014,Ranunculus.acris,1.9,ran.acr,Flower
CH,2,WL,Total.number.of.flower.units.per.m187,17,4,2014,Rumex.acetosa,0.1,rum.ace,Spike
CH,2,WL,Total.number.of.flower.units.per.m188,17,4,2014,Taraxacum.campylodes,5.8,NA,NA
CH,2,WL,Total.number.of.flower.units.per.m189,17,4,2014,Viburnum.lantana,0.1,vib.lan,Corymb.of.capitula
CH,2,WL,Total.number.of.flower.units.per.m190,8,6,2013,Fragaria.vesca,0.1,fra.ves,Flower.head
CH,2,WL,Total.number.of.flower.units.per.m191,8,6,2013,Lonicera.xylosteum,2,lon.xyl,Flower
CH,2,WL,Total.number.of.flower.units.per.m192,8,6,2013,Plantago.lanceolata,6.1,pla.lan,Spike
CH,2,WL,Total.number.of.flower.units.per.m193,8,6,2013,Ranunculus.acris,2.6,ran.acr,Flower
CH,2,WL,Total.number.of.flower.units.per.m194,8,6,2013,Rumex.acetosa,3.6,rum.ace,Spike
CH,2,WL,Total.number.of.flower.units.per.m195,8,6,2013,Taraxacum.campylodes,0.1,NA,NA
CH,2,WL,Total.number.of.flower.units.per.m196,8,6,2013,Viburnum.opulus,4.1,vib.opu,Corymb.of.capitula
CH,2,WL,Total.number.of.flower.units.per.m197,8,6,2013,Vicia.sepium,7.25,vic.sep,Raceme
CH,2,WL,Total.number.of.flower.units.per.m198,10,7,2013,Cerastium.fontanum,23.2,cer.fon,Flower
CH,2,WL,Total.number.of.flower.units.per.m199,10,7,2013,Ligustrum.vulgare,1.4,lig.vul,Flower
CH,2,WL,Total.number.of.flower.units.per.m200,10,7,2013,Lotus.corniculatus,0.125,lot.cor,Flower
CH,2,WL,Total.number.of.flower.units.per.m201,10,7,2013,Plantago.lanceolata,4.5,pla.lan,Spike
CH,2,WL,Total.number.of.flower.units.per.m202,10,7,2013,Trifolium.repens,0.4,tri.rep,Flower.head
CH,2,WL,Total.number.of.flower.units.per.m203,10,7,2013,Vicia.sepium,1.15,vic.sep,Raceme
CH,2,WL,Total.number.of.flower.units.per.m204,15,8,2013,Plantago.lanceolata,2,pla.lan,Spike
CH,2,WL,Total.number.of.flower.units.per.m205,15,8,2013,Trifolium.repens,1,tri.rep,Flower.head
CH,3,HA,Total.number.of.flower.units.per.m206,17,4,2014,Ajuga.reptans,8.55,aju.rep,Raceme
CH,3,HA,Total.number.of.flower.units.per.m207,17,4,2014,Bellis.perennis,3.35,bel.per,Flower.head
CH,3,HA,Total.number.of.flower.units.per.m208,17,4,2014,Glechoma.hederacea,17.8,gle.hed,Raceme
CH,3,HA,Total.number.of.flower.units.per.m209,17,4,2014,Lotus.corniculatus,0.1,lot.cor,Flower
CH,3,HA,Total.number.of.flower.units.per.m210,17,4,2014,Medicago.lupulina,0.95,med.lup,Flower
CH,3,HA,Total.number.of.flower.units.per.m211,17,4,2014,Myosotis.arvensis,8.3,myo.arv,Flower
CH,3,HA,Total.number.of.flower.units.per.m212,17,4,2014,Plantago.lanceolata,0.4,pla.lan,Spike
CH,3,HA,Total.number.of.flower.units.per.m213,17,4,2014,Plantago.media,0.1,pla.med,Spike
CH,3,HA,Total.number.of.flower.units.per.m214,17,4,2014,Potentilla.sterilis,0.1,pot.ste,Flower
CH,3,HA,Total.number.of.flower.units.per.m215,17,4,2014,Ranunculus.acris,3.55,ran.acr,Flower
CH,3,HA,Total.number.of.flower.units.per.m216,17,4,2014,Ranunculus.bulbosus,14.5,ran.bul,Flower
CH,3,HA,Total.number.of.flower.units.per.m217,17,4,2014,Rumex.acetosa,0.7,rum.ace,Spike
CH,3,HA,Total.number.of.flower.units.per.m218,17,4,2014,Taraxacum.campylodes,2.55,NA,NA
CH,3,HA,Total.number.of.flower.units.per.m219,17,4,2014,Trifolium.pratense,0.25,tri.pra,Flower.head
CH,3,HA,Total.number.of.flower.units.per.m220,17,4,2014,Veronica.arvensis,1.4,ver.arv,Flower
CH,3,HA,Total.number.of.flower.units.per.m221,17,4,2014,Veronica.persica,5.8,ver.per,Flower
CH,3,HA,Total.number.of.flower.units.per.m222,17,4,2014,Vicia.sepium,1.2,vic.sep,Raceme
CH,3,HA,Total.number.of.flower.units.per.m223,12,6,2013,Ajuga.reptans,1.2,aju.rep,Raceme
CH,3,HA,Total.number.of.flower.units.per.m224,12,6,2013,Bellis.perennis,0.1,bel.per,Flower.head
CH,3,HA,Total.number.of.flower.units.per.m225,12,6,2013,Cerastium.fontanum,0.5,cer.fon,Flower
CH,3,HA,Total.number.of.flower.units.per.m226,12,6,2013,Crepis.capillaris,2.8,cre.cap,Flower.head
CH,3,HA,Total.number.of.flower.units.per.m227,12,6,2013,Heracleum.sphondylium,0.2,her.sph,Compound.umbel
CH,3,HA,Total.number.of.flower.units.per.m228,12,6,2013,Ornithogalum.umbellatum,1.4,orn.umb,Flower
CH,3,HA,Total.number.of.flower.units.per.m229,12,6,2013,Ranunculus.acris,89.6,ran.acr,Flower
CH,3,HA,Total.number.of.flower.units.per.m230,12,6,2013,Rumex.acetosa,2.45,rum.ace,Spike
CH,3,HA,Total.number.of.flower.units.per.m231,12,6,2013,Tragopogon.pratensis,0.15,tra.pra,Flower.head
CH,3,HA,Total.number.of.flower.units.per.m232,12,6,2013,Trifolium.pratense,4.95,tri.pra,Flower.head
CH,3,HA,Total.number.of.flower.units.per.m233,12,6,2013,Veronica.arvensis,0.7,ver.arv,Flower
CH,3,HA,Total.number.of.flower.units.per.m234,12,6,2013,Veronica.chamaedrys,3.8,ver.cha,Flower
CH,3,HA,Total.number.of.flower.units.per.m235,12,6,2013,Vicia.sepium,1.6,vic.sep,Raceme
CH,3,HA,Total.number.of.flower.units.per.m236,17,7,2013,Achillea.millefolium,0.2,ach.mil,Umbel
CH,3,HA,Total.number.of.flower.units.per.m237,17,7,2013,Bellis.perennis,0.3,bel.per,Flower.head
CH,3,HA,Total.number.of.flower.units.per.m238,17,7,2013,Knautia.arvensis,0.55,kna.arv,Flower.head
CH,3,HA,Total.number.of.flower.units.per.m239,17,7,2013,Lotus.corniculatus,2.0375,lot.cor,Flower
CH,3,HA,Total.number.of.flower.units.per.m240,17,7,2013,Plantago.lanceolata,1.85,pla.lan,Spike
CH,3,HA,Total.number.of.flower.units.per.m241,17,7,2013,Plantago.media,0.3,pla.med,Spike
CH,3,HA,Total.number.of.flower.units.per.m242,17,7,2013,Prunella.vulgaris,0.4,pru.vul,Flowered.stem
CH,3,HA,Total.number.of.flower.units.per.m243,17,7,2013,Trifolium.pratense,5.9,tri.pra,Flower.head
CH,3,HA,Total.number.of.flower.units.per.m244,17,7,2013,Trifolium.repens,7.25,tri.rep,Flower.head
CH,3,HA,Total.number.of.flower.units.per.m245,21,8,2013,Galium.album,3.2,gal.alb,Raceme
CH,3,HA,Total.number.of.flower.units.per.m246,21,8,2013,Knautia.arvensis,0.3,kna.arv,Flower.head
