Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment,Inflorescence type
22,7,2021,FR_V02,Myosotis arvensis,16,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,cyme
22,7,2021,FR_V02,Myosotis arvensis,59,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,cyme
22,7,2021,FR_V02,Plantago lanceolata,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
22,7,2021,FR_V02,Stellaria media,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
22,7,2021,FR_V02,Trifolium pratense,4,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
22,7,2021,FR_V02,Veronica persica,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
29,4,2021,FR_V03,Ajuga reptans,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Ajuga reptans,9,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Ajuga reptans,29,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Ajuga reptans,34,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Ajuga reptans,42,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Cardamine sp,4,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Fragaria moschata,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Fragaria moschata,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Fragaria moschata,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Fragaria moschata,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Fragaria moschata,4,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Fragaria moschata,11,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Geranium robertianum,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Glechoma hederacea,32,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Polygonatum multiflorum,5,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Ranunculus acris,9,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Stellaria hollostea,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Stellaria hollostea,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Stellaria hollostea,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Stellaria hollostea,12,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Stellaria hollostea,16,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Stellaria hollostea,16,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Stellaria hollostea,18,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Stellaria hollostea,19,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Stellaria hollostea,41,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Stellaria hollostea,58,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Taraxacum officinale,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,capitulum
29,4,2021,FR_V03,Taraxacum officinale,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,capitulum
29,4,2021,FR_V03,Verbascum nigrum,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Veronica chamaedrys,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Veronica chamaedrys,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Veronica chamaedrys,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Veronica chamaedrys,6,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Veronica chamaedrys,7,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Veronica chamaedrys,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Veronica chamaedrys,9,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Veronica chamaedrys,10,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Veronica chamaedrys,32,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Vicia cracca,10,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
29,4,2021,FR_V03,Viola reichenbachiana,16,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
28,5,2021,FR_V03,Ervilia hirsuta,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Fragaria moschata,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Fragaria moschata,21,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Galium aparine,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,cyme
28,5,2021,FR_V03,Galium aparine,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,cyme
28,5,2021,FR_V03,Geranium columbinum,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Geranium rotundifolium,4,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Geum urbanum,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Lactuca serriola,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,capitulum
28,5,2021,FR_V03,Matricaria chamomilla,6,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,capitulum
28,5,2021,FR_V03,Matricaria chamomilla,18,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,capitulum
28,5,2021,FR_V03,Matricaria chamomilla,36,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,capitulum
28,5,2021,FR_V03,Matricaria chamomilla,75,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,capitulum
28,5,2021,FR_V03,Myosotis arvensis,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,cyme
28,5,2021,FR_V03,Papaver rhoeas,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Papaver rhoeas,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Papaver rhoeas,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Pisum sativum,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Pisum sativum,9,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Pisum sativum,13,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Pisum sativum,13,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Pisum sativum,23,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Pisum sativum,26,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Pisum sativum,32,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Pisum sativum,70,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Pisum sativum,71,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Ranunculus sp,24,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Sherardia arvensis,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,flower.head
28,5,2021,FR_V03,Sinapis sp,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Stellaria hollostea,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Stellaria hollostea,5,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Stellaria hollostea,16,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Veronica chamaedrys,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Veronica chamaedrys,6,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Veronica chamaedrys,17,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Veronica chamaedrys,17,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Veronica chamaedrys,18,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Veronica chamaedrys,28,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Veronica chamaedrys,44,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Vicia sativa,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Vicia sativa,11,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
28,5,2021,FR_V03,Vicia sativa,16,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
19,7,2021,FR_V03,Agrimonia eupatoria,4,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
19,7,2021,FR_V03,Agrimonia eupatoria,16,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
19,7,2021,FR_V03,Betonica officinalis,17,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
19,7,2021,FR_V03,Campanula trachelium,10,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
19,7,2021,FR_V03,Epilobium hirsutum,10,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
19,7,2021,FR_V03,Galium parisiense,25,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,cyme
19,7,2021,FR_V03,Galium parisiense,64,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,cyme
19,7,2021,FR_V03,Geranium dissectum,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
19,7,2021,FR_V03,Geranium robertianum,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
19,7,2021,FR_V03,Lathyrus pratensis,4,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
19,7,2021,FR_V03,Lathyrus pratensis,20,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
19,7,2021,FR_V03,Lotus corniculatus,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Lotus corniculatus,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Lotus corniculatus,4,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Lythrum salicaria,10,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
19,7,2021,FR_V03,Lythrum salicaria,12,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
19,7,2021,FR_V03,Medicago sativa,17,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Medicago sativa,32,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Medicago sativa,33,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Medicago sativa,51,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Medicago sativa,53,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Medicago sativa,106,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Medicago sativa,200-300,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Medicago sativa,200-300,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Medicago sativa,200-300,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Plantago lanceolata,12,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Potentilla reptans,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
19,7,2021,FR_V03,Trifolium pratense,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Trifolium pratense,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Trifolium repens,6,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Trifolium repens,6,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,7,2021,FR_V03,Trifolium repens,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
19,4,2021,FR_V08,Capsella bursa-pastoris,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Capsella bursa-pastoris,800-900,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Ficaria verna,7,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Ficaria verna,11,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Glechoma hederacea,4,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Lamium purpureum,100-200,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Mercurialis perennis,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,flower.head
19,4,2021,FR_V08,Primula veris,5,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Ribes sp,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,raceme
19,4,2021,FR_V08,Ribes sp,75,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,raceme
19,4,2021,FR_V08,Stellaria media,400-500,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Taraxacum officinale,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,capitulum
19,4,2021,FR_V08,Taraxacum officinale,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,capitulum
19,4,2021,FR_V08,Taraxacum officinale,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,capitulum
19,4,2021,FR_V08,Taraxacum officinale,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,capitulum
19,4,2021,FR_V08,Taraxacum officinale,10,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,capitulum
19,4,2021,FR_V08,Taraxacum officinale,15,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,capitulum
19,4,2021,FR_V08,Taraxacum officinale,19,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,capitulum
19,4,2021,FR_V08,Veronica persica,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Veronica persica,24,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Veronica persica,81,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Veronica persica,91,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Viola arvensis,17,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V08,Viola reichenbachiana,11,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
25,5,2021,FR_V08,Ajuga reptans,200-300,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V08,Alliaria petiolata,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V08,Anthriscus sylvestris,48,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,umbel
25,5,2021,FR_V08,Anthriscus sylvestris,59,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,umbel
25,5,2021,FR_V08,Anthriscus sylvestris,69,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,umbel
25,5,2021,FR_V08,Anthriscus sylvestris,82,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,umbel
25,5,2021,FR_V08,Barbarea vulgaris,5,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,flower.head
25,5,2021,FR_V08,Barbarea vulgaris,14,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,flower.head
25,5,2021,FR_V08,Barbarea vulgaris,16,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,flower.head
25,5,2021,FR_V08,Barbarea vulgaris,41,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,flower.head
25,5,2021,FR_V08,Barbarea vulgaris,53,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,flower.head
25,5,2021,FR_V08,Bellis perennis,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,capitulum
25,5,2021,FR_V08,Capsella bursa-pastoris,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V08,Capsella bursa-pastoris,15,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V08,Chaerophyllum temulum,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,umbel
